"","pay","algorithm","sdev","n","s","rep"
"519",77.0434067953532,4,"5",5,5,15
"520",77.0434067953532,5,"5",5,5,15
"521",83.5154881400256,1,"10",5,5,15
"522",83.5154881400256,2,"10",5,5,15
"523",83.5154881400256,3,"10",5,5,15
"524",83.5154881400256,4,"10",5,5,15
"525",83.5154881400256,5,"10",5,5,15
"526",15,1,"0.05",5,5,16
"527",19,2,"0.05",5,5,16
"528",19,3,"0.05",5,5,16
"529",19,4,"0.05",5,5,16
"530",19,5,"0.05",5,5,16
"531",7,1,"0.1",5,5,16
"532",19,2,"0.1",5,5,16
"533",19,3,"0.1",5,5,16
"534",19,4,"0.1",5,5,16
"535",19,5,"0.1",5,5,16
"536",9.70670567996224,1,"0.5",5,5,16
"537",19.5413411329464,2,"0.5",5,5,16
"538",20.0826822658929,3,"0.5",5,5,16
"539",20.0826822658929,4,"0.5",5,5,16
"540",20.0826822658929,5,"0.5",5,5,16
"541",19.1417221907909,1,"1",5,5,16
"542",23.8522452777011,2,"1",5,5,16
"543",23.8522452777011,3,"1",5,5,16
"544",23.8522452777011,4,"1",5,5,16
"545",23.8522452777011,5,"1",5,5,16
"546",24.9745905190503,1,"2",5,5,16
"547",26.0599752206768,2,"2",5,5,16
"548",26.0599752206768,3,"2",5,5,16
"549",26.0599752206768,4,"2",5,5,16
"550",26.0599752206768,5,"2",5,5,16
"551",27.4392436775464,1,"5",5,5,16
"552",27.4392436775464,2,"5",5,5,16
"553",27.4392436775464,3,"5",5,5,16
"554",27.4392436775464,4,"5",5,5,16
"555",27.4392436775464,5,"5",5,5,16
"556",27.8562470656867,1,"10",5,5,16
"557",27.8562470656867,2,"10",5,5,16
"558",27.8562470656867,3,"10",5,5,16
"559",27.8562470656867,4,"10",5,5,16
"560",27.8562470656867,5,"10",5,5,16
"561",28,1,"0.05",5,5,17
"562",50,2,"0.05",5,5,17
"563",58,3,"0.05",5,5,17
"564",58,4,"0.05",5,5,17
"565",58,5,"0.05",5,5,17
"566",28,1,"0.1",5,5,17
"567",50,2,"0.1",5,5,17
"568",58,3,"0.1",5,5,17
"569",58,4,"0.1",5,5,17
"570",58,5,"0.1",5,5,17
"571",53.5187173641519,1,"0.5",5,5,17
"572",50.0036900889069,2,"0.5",5,5,17
"573",58,3,"0.5",5,5,17
"574",58,4,"0.5",5,5,17
